MOFid,metal,linker,density,Di,logKH_CO2,pure_uptake_CO2_298.00_15000,pure_uptake_methane_298.00_6500000
acs.cgd.6b00151_AKECIE1449784_clean,[Ag],[C][=C][C][=Branch2][Ring2][Branch2][=C][C][=C][Ring1][=Branch1][C][N][C][C][C][Branch1][Branch1][C][C][Ring1][=Branch1][C][C][C][N][Branch1][=C][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][#N][C][C][Ring1][#C][C][#N],1.02415,5.53047,-3.914170902320867,1.679826113,8.6526080195
acs.cgd.6b00151_AKECOK1449785_clean,[Ag],[C][#Branch1][C][#N][C][=C][C][=C][Branch2][Ring2][Ring1][C][N][C][C][C][Branch1][Branch1][C][C][Ring1][=Branch1][C][C][C][N][Branch1][=C][C][C][=C][C][=C][Branch1][Ring1][C][#N][C][=C][Ring1][Branch2][C][C][Ring1][#C][C][=C][Ring2][Ring1][N],1.42397,4.29233,-3.4421945486405674,1.9693854162,3.2370392607
acs.cgd.6b00151_AKEDAX1449787_clean,[Ag],[C][C][N][Branch2][Ring1][=N][C][C][C][Ring1][=Branch1][C][C][C][N][Branch1][Branch1][C][C][Ring1][=Branch1][C][C][=C][C][=C][Branch1][Ring1][C][#N][C][=C][Ring1][Branch2][C][C][=C][C][=C][Branch1][Ring1][C][#N][C][=C][Ring1][Branch2],1.00802,4.67711,-3.642103250677706,2.1834645219,7.1270463498
acs.cgd.6b00151_AKEDEB1449788_clean,[Ag],[N][#C][C][=C][C][=C][Branch2][Ring2][Branch1][C][N][C][C][C][Branch2][Ring1][Branch2][C][C][C][N][Branch1][Branch1][C][C][Ring1][=Branch1][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][#N][C][C][Ring2][Ring1][Branch1][C][=C][Ring2][Ring1][N],1.01059,5.99146,-4.053326222696697,1.2178661761,5.2328278463
acs.cgd.6b00163_UKEBAP1448505_clean,[Zn],[C][=Branch1][C][=O][Branch2][Ring2][=C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][C][=C][C@@H1][Branch1][Branch1][C][=C][Ring1][=Branch1][C@@H1][C][=C][N][Branch1][S][C][=C][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][C][=C][Ring1][=Branch2][C][=C][Ring1][#C][OH0],0.839641,8.01863,-5.069216470124724,0.1310738369,8.8857610872
acs.cgd.6b00429_1438789-1438792_clean,[U],[C][=Branch1][C][=O][Branch2][Ring2][#Branch2][C][=C][C][Branch1][#Branch1][C][=C][C][=C][Ring1][=Branch1][=N][C][Branch2][Ring1][=Branch1][C][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][=C][C][=C][C][=C][C][Ring1][=Branch1][=N][Ring1][=N][=C][Ring2][Ring1][#Branch1][OH0],1.04721,6.41256,-4.146757001882248,1.0531998761,9.2014303051
acs.cgd.6b00463_OLOMUZ1451936_clean,[Ag][Ca],[S][=C][N][=C][C][=C][CH0][Ring1][=Branch1][C][=Branch1][C][=O][OH0],1.07611,10.32513,-2.18044093021716,1.8635750888,6.991406491
acs.cgd.6b00488_ANAVUI1457968_clean,[In],[C][=Branch2][Ring1][=C][=C][Branch2][Ring1][=Branch2][C][=Branch1][P][=C][Branch1][=N][C][=Branch1][=Branch2][=C][Ring1][=Branch1][C][=Branch1][C][=O][OH0][F][F][C][=Branch1][C][=O][OH0][F][F],2.00982,3.81524,-5.707637583832503,0.0304714836,2.1098274976
acs.cgd.6b00506_OMECIU1457820_clean,[Ag],[S][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Branch2][Ring2][=Branch2][C@H1][Branch2][Ring1][Ring1][N][N][=C][Branch1][C][C][C][=C][Ring1][=Branch1][C][Branch1][C][F][Branch1][C][F][F][N][N][=C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][C][=C][Ring1][=Branch2][C][C][=C][C][=C][Ring2][Ring1][O],1.40924,4.91783,-2.742861629794085,1.5671261826,1.6706102814
acs.cgd.6b01311_1481292-1481295_clean,[Cu],[N][Branch1][#Branch2][C][C][=C][C][=N][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][/C][=C][/C][=Branch1][C][=O][N][C][C][=C][C][=N][C][=C][Ring1][=Branch1],0.740903,7.06129,-4.228172290655378,0.8920431,11.9438973797
acs.chemmater.5b04306_cm5b04306_si_001_clean,[Zn],[N][Branch1][S][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][OH0][Branch1][S][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][OH0][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][OH0],0.776235,8.91532,-3.594997044100896,1.4356735487,11.3284215561
acs.inorgchem.5b02242_ic5b02242_si_002_clean,[Sm],[O][=C][Branch1][C][OH0][C][=C][Branch2][Ring1][Branch1][C][=C][Branch1][N][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][OH0][C][=Branch1][C][=O][OH0][C][=Branch1][C][=O][OH0],1.49163,6.85822,-0.6501088701609653,6.0710338197,4.9887898096
acs.inorgchem.5b02434_ic5b02434_si_004_clean,[Co],[C][=N][N][=C][N][Ring1][Branch1][N],0.8489359999999999,6.4325,-1.4979691154326238,4.8445154101,10.4093233963
acs.inorgchem.5b02434_ic5b02434_si_007_clean,[Ni],[C][=N][N][=C][N][Ring1][Branch1][N],0.913463,6.24583,-2.9076197678919216,2.3358021317,9.0400078734
acs.inorgchem.5b02434_ic5b02434_si_010_clean,[Ni],[N][Branch1][C][N][C][Branch1][Ring1][N][N][=N][N][=C][Ring1][Branch2],0.784507,5.42119,-3.081037037082744,7.2289899509,11.028313585
acs.inorgchem.6b00044_ic6b00044_si_002_clean,[Zn][Ag],[N][=C][C][=C][C][=C][Ring1][=Branch1][C][=N][C][=C][C][=C][Ring1][=Branch1],1.10896,9.34583,-3.2436446386319138,0.9185920294,6.1169578809
acs.inorgchem.6b00105_ic6b00105_si_002_clean,[Cu],[N][=C][Branch1][#Branch1][N][=C][C][=C][Ring1][=Branch1][C][=N][C][=C][C][=N][Ring1][=Branch1],1.31346,4.39834,-3.737385190754363,2.084956039,4.9256977875
acs.inorgchem.6b00186_ic6b00186_si_001_clean,[Ag],[P][C][N][C][N][Branch1][Ring2][C][Ring1][=Branch1][C][N][Branch1][Ring2][C][Ring1][=Branch2][C][Ring1][Branch2],1.01017,5.67785,-4.218183613053316,0.933974789,9.2656921163
acs.inorgchem.6b00186_ic6b00186_si_003_clean,[Ag],[P][C][N][C][N][Branch1][O][C][N][Branch1][Ring2][C][Ring1][=Branch1][C][Ring1][=Branch2][C][Ring1][#Branch2],1.52882,3.8587,-5.513915394084176,0.0445295535,0.367832533
acs.inorgchem.6b00332_ic6b00332_si_003_clean,[Ni],[OH0][C][=C][Branch2][Ring2][C][/C][=N][/C][=C][Branch1][#Branch1][C][=C][C][=C][Ring1][=Branch1][S][S][C][=C][C][=C][C][=C][Ring1][=Branch1][/N][=C][/C][=C][C][=C][C][=C][Ring1][=Branch1][OH0][C][=C][C][=C][Ring2][Ring1][#C],1.33182,5.04195,-4.538220938175815,0.3584155696,1.7997494403
acs.inorgchem.6b00433_ic6b00433_si_002_clean,[Cu],[C][=N][CH1][N][Branch2][Ring1][=C][C][=C][C][=C][C][=C][C][Ring1][=Branch1][=C][Branch1][O][C][=C][C][=C][C][=C][Ring1][=C][Ring1][=Branch1][N][C][=N][C][=N][Ring1][Branch1][NH0][Ring2][Ring1][Branch2],1.10398,5.96211,-3.945015617771869,1.7161871854,5.1556048534
acs.inorgchem.6b00505_ic6b00505_si_002_clean,[V][Cu],[C][C][C][N][C][C][N][C][C][C][N][C][C][N][Ring1][=C],1.59781,6.12211,-2.1023146401944706,2.7422322492,2.3223444723
acs.inorgchem.6b00878_ic6b00878_si_002_clean,[Eu],[C][=Branch2][Ring1][=C][=C][C][=C][Branch2][Ring1][Ring2][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][OH0][C][=C][Ring1][P][C][=Branch1][C][=O][OH0],1.23292,4.32805,-1.1695916298127975,3.6774525728,4.6971812062
acs.inorgchem.6b00894_ic6b00894_si_002_clean,[Zn],[C][=Branch1][C][=O][Branch1][C][OH0][C][=C][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][C][=C][Ring1][=Branch2],1.10689,6.64699,-3.708644471669368,2.0819855774,5.5299039917
acs.inorgchem.6b00894_ic6b00894_si_003_clean,[Cd],[C][=N][C][=C][C][Branch2][Ring2][Ring2][C][C][=C][C][=N][C@H1][Branch2][Ring1][Ring1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=N][C][=C][Ring1][=Branch1][C][N][Ring1][P][C][=Ring2][Ring1][Branch1][=C][Ring2][Ring1][O],1.36061,5.39452,-3.9933329024186137,0.8837696864000001,2.0863529273
acs.inorgchem.6b01168_ic6b01168_si_002_clean,[U],[C][=Branch2][Ring1][Branch2][=C][C][=Branch1][=C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][C][=Branch1][C][=O][OH0][C][C][=Branch1][C][=O][OH0][C][C][=Branch1][C][=O][OH0],1.8551,4.2522400000000005,-4.224102786630168,0.7182817383,2.0240992672
acs.inorgchem.6b01416_ic6b01416_si_001_clean,[Cd],[N][=C][Branch1][S][C][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][=C][C][=C][Ring1][=Branch2][C][=C][Branch1][Branch1][C][=C][Ring1][#C][C][=Branch1][C][=O][OH0],0.770369,7.7433,-3.496510296073026,3.6266721111,10.4187809526
acs.inorgchem.6b01569_ic6b01569_si_002_clean,[Ni],[C][=C][Branch1][#Branch1][C][=C][N][=C][Ring1][=Branch1][C][C][C][=C][C][=N][C][=C][Ring1][=Branch1],1.11326,6.29847,-3.716000390442363,1.9497438337,3.666392372
acs.inorgchem.6b01845_ic6b01845_si_003_clean,[Co],[C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][=C][C][Branch1][Ring1][C][#N][=C][Ring1][=C],0.957779,6.45101,-3.4548636653667155,2.4752251349,7.8436136773
acs.inorgchem.6b01845_ic6b01845_si_007_clean,[Zn],[C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][=C][C][Branch1][Ring1][C][#N][=C][C][=Branch1][Ring2][=C][Ring1][O][C][=Branch1][C][=O][OH0],1.27618,10.23501,-2.139418856591103,1.9101580243,3.8072466554
acs.inorgchem.6b02332_ic6b02332_si_002_clean,[Cd],[C][=C][N][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Branch2][Branch1][Ring2][C][Branch2][Ring2][Branch2][C][=C][C][=Branch2][Ring1][#Branch2][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][#Branch1][C][=C][Ring1][=N][Ring1][=Branch1][C][=C][C][=N][C][=C][Ring1][=Branch1][C][=C][C][=N][C][=C][Ring1][=Branch1][C][Ring2][Ring1][=N][=C][Ring2][Ring1][P][C][=C][Branch1][=Branch1][C][=C][Ring2][Ring1][P][C][=C][C][=N][C][=C][Ring1][=Branch1],1.20577,6.67537,-4.173483349251379,0.936598963,4.7745190239
acs.inorgchem.6b02407_ic6b02407_si_002_clean,[Zn][Li],[OH0][C][=Branch1][C][=O][C][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][=C][C][=C][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][C][=C][C][=C][Ring2][Ring1][#Branch1][C][Ring2][Ring1][C][=C][Ring1][S][Ring1][=Branch1],0.960789,6.36153,-3.711761956201258,2.501932905,9.7819828609
acs.inorgchem.6b02407_ic6b02407_si_003_clean,[Zn][Li],[C][=Branch1][C][=O][Branch2][Ring2][S][C][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][=C][C][=C][C][=C][Branch2][Ring1][=Branch2][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][C][=C][C][=C][Ring2][Ring1][Ring2][C][Ring1][#C][=C][Ring1][=N][Ring1][=Branch1][C][=Branch1][C][=O][OH0][OH0],1.12188,6.24791,-3.7456719051274754,2.1825917536,6.8316988511000005
acs.inorgchem.6b02696_ic6b02696_si_002_clean,[Zn],[C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][=C][Ring1][#C],0.908718,12.13124,-4.384657122984661,0.5501871662,10.7168433974
acscombsci.5b00188_5020072_clean,[Zn],[C][=Branch1][C][=O][Branch2][Ring2][#C][C][=C][Branch2][Ring2][Branch2][C][=Branch2][Ring2][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][/C][=Branch2][Ring1][Branch1][=C][/C][=C][C][=C][Branch1][=Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][#N][C][=Branch1][C][=O][OH0][/C][#N][C][#N][C][#N][OH0],0.429595,14.46967,-4.812930728769577,0.2107838939,17.0865470377
acscombsci.5b00188_5024922_clean,[Zn],[C][=Branch1][C][=O][Branch2][Ring2][N][C][=C][Branch2][Ring2][=Branch1][C][=Branch2][Ring1][P][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=N][N][=C][Branch1][S][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][OH0][N][=N][Ring1][#C][O][O][OH0],0.295002,20.5205,-4.914641624308168,0.1630102001,20.0785588695
acscombsci.5b00188_5036495_clean,[Zn],[C][#Branch2][Ring1][Ring1][#C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][#C][C][=Branch1][C][=O][OH0][C][=Branch1][C][=O][OH0],0.338372,10.8747,-5.101218341866116,0.1200827733,22.3686923073
acsnano.6b03030_nn6b03030_si_001_clean,[Sr],[C][=Branch1][C][=O][Branch2][Ring1][P][C][=C][C][=C][C][=Branch1][C][=O][O][C][=Branch1][C][=O][C][=C][Ring1][Branch2][C][Ring1][N][=C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][C][=C][Ring1][=Branch2][OH0],1.63352,4.57677,-1.5597444246254937,2.6574376866,2.6090406612
ACUJOZ_manual,[Cr][Cu],[C][Branch2][Ring1][=Branch1][CH1][CH1][C][=C][C][=Branch1][#Branch2][=C][C][Branch1][Ring1][CH0][=O][=C][Ring1][Branch2][C][=Branch1][C][=O][OH0][=C][C][=Branch1][O][=C][C][=Branch1][Branch1][=C][Ring2][Ring1][Ring1][CH0][OH0][C][=Branch1][C][=O][OH0],0.694288,11.50806,-4.271101864698428,0.9742161822,13.7442382115
ACUTOI_clean,[Na][Cd],[O][=C][Branch1][C][OH0][C][=C][C][Branch1][=Branch2][S][Branch1][C][OH0][Branch1][C][OH0][OH0][=C][Branch1][Branch1][C][=C][Ring1][#Branch2][C][=Branch1][C][=O][OH0],1.71994,5.192,-3.942010767371308,1.1483699795,2.2738304354
ADASIJ_clean,[Cu],[C][=Branch2][#Branch1][Ring1][=C][C][=Branch2][=Branch1][=Branch2][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C][C][=C][C][Branch2][Ring1][=Branch2][C][O][C][=C][C][=Branch1][=N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][OH0][C][=Branch1][C][=O][OH0][=C][C][Branch2][Ring1][=Branch2][C][O][C][=C][C][=Branch1][=N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][OH0][C][=Branch1][C][=O][OH0][=C][Ring2][Ring2][C][C][=Branch1][C][=O][OH0][C][=Branch1][C][=O][OH0],0.629251,18.23438,-4.594213249829706,0.3735449563,15.8407484577
ADASOP_clean,[Zn],[OH0][C][=Branch1][C][=O][C][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][=C][C][=Branch1][Ring2][=C][Ring1][=Branch2][O][C][C][=C][C][Branch2][Ring1][=Branch2][C][O][C][=C][C][=Branch1][=N][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][=C][Ring1][=Branch2][C][=Branch1][C][=O][OH0][=C][C][Branch2][Ring1][=Branch2][C][O][C][=C][C][=Branch1][=N][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][=C][Ring1][=Branch2][C][=Branch1][C][=O][OH0][=C][Ring2][Ring2][C],0.6316400000000001,18.07262,-4.041727177259105,1.3464846199,16.4491055187
ADASUV_clean,[Co],[O][=C][Branch2][#Branch1][Ring1][C][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][=C][C][=Branch1][Ring2][=C][Ring1][=Branch2][O][C][C][=C][C][Branch2][Ring1][=Branch2][C][O][C][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][=C][Ring1][N][=C][C][Branch2][Ring1][=Branch2][C][O][C][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][=C][C][=Branch1][Ring2][=C][Ring1][=Branch2][C][=Branch1][C][=O][OH0][=C][Ring2][Ring2][C][OH0],0.6256929999999999,17.16775,-4.271792360334458,0.8084102567,15.8330976715
ADATAC_clean,[Zn],[N][=Branch2][Branch2][O][=N][\C][=C][C][=C][Branch2][#Branch1][=C][O][C][C][=C][C][Branch2][Ring2][#Branch1][C][O][C][=C][C][=C][Branch2][Ring1][=Branch2][/N][=N][/C][=C][C][=Branch1][=N][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][=C][Ring1][=Branch2][C][=Branch1][C][=O][OH0][C][=C][Ring2][Ring1][Ring2][=C][C][Branch2][Ring2][#Branch1][C][O][C][=C][C][=C][Branch2][Ring1][=Branch2][/N][=N][/C][=C][C][=Branch1][=N][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][=C][Ring1][=Branch2][C][=Branch1][C][=O][OH0][C][=C][Ring2][Ring1][Ring2][=C][Ring2][Branch1][C][C][=C][Ring2][Branch1][#Branch2][/C][=C][C][=Branch1][=N][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][=C][Ring1][=Branch2][C][=Branch1][C][=O][OH0],0.33727,26.33515,-4.432058930826437,0.5305370288,23.5828723076
ADATEG_manual,[Cu],[C][=C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][C][=C][C][Branch2][O][=N][C][=C][C][=Branch2][Ring1][#Branch1][=C][C][Branch1][S][C][=C][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][C][=C][Ring1][=Branch2][=C][Ring1][#C][C][#C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][Branch2][Branch1][Branch2][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][#C][C][=C][C][Branch1][S][C][=C][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][C][=C][Ring1][=Branch2][=C][C][Branch1][S][C][=C][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][C][=C][Ring1][=Branch2][=C][Ring2][Ring1][Branch2][C][=C][C][=C][Branch2][Ring2][=C][C][#C][C][=C][C][=Branch2][Ring1][#Branch1][=C][C][Branch1][S][C][=C][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][C][=C][Ring1][=Branch2][=C][Ring1][#C][C][=C][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][C][=C][Ring1][=Branch2][C][=C][Ring2][Ring1][S][=C][Ring2][#Branch1][P],0.238777,27.33782,-5.0167892649108365,0.1440832977,28.7858251626
